User-ID;ISBN;Book-Rating
276964;0345354621;10
276964;0440220602;9
276964;0684867621;8
276964;0812550307;10
277157;0312979517;5
277157;0316154059;5
277157;0345452550;7
277157;0399148639;6
277157;0399151451;7
277157;0671024094;7
277157;0679450408;6
277157;074320607X;7
277157;0743486226;7
277203;039480001X;9
277203;0394800028;9
277203;0394800184;9
277203;039480029X;8
277427;002542730X;10
277427;0060542128;7
277427;0061009059;9
277427;0316776963;8
277427;0345413903;10
277427;0380702843;8
277427;0380791978;9
277427;0385424736;9
277427;0385486804;9
277427;0385503857;9
277427;0385504209;8
277427;0399501487;9
277427;0425104338;9
277427;0425116840;8
277427;0425133516;9
277427;0440185327;5
277427;0440224764;7
277427;0440236061;8
277427;0440236738;9
277427;0441627404;10
277427;0446350982;9
277427;0446600415;10
277427;0446608890;10
277427;0451191153;8
277427;0451203593;10
277427;0452284449;6
277427;0553280368;9
277427;0553571656;10
277427;0553573926;10
277427;0553574566;9
277427;0671528904;8
277427;0671876821;8
277427;0679731148;9
277427;0679736042;5
277427;0740723367;9
277427;0743406176;8
277427;0743412028;9
277427;0743457943;8
277427;0767903382;10
277427;0786866845;10
277427;0811802981;10
277427;0811811409;10
277427;0836210263;10
277427;0836217691;10
277427;0836218515;10
277427;0836218817;10
277427;0836221192;10
277427;0836236688;10
277427;0890876517;10
277478;0312113420;7
277478;0312979533;7
277478;0440213320;7
277478;1558745718;8
277523;0312289723;10
277523;0316603570;10
277523;0316693200;10
277523;0345452577;10
277523;0345452593;10
277523;0385508042;10
277523;0385510438;10
277523;039915180X;10
277523;0440241537;10
277523;0446530891;10
277523;0515133302;10
277523;0553803409;10
277523;0671886665;10
277523;0684835983;10
277523;0743206045;10
277523;1558744150;10
277639;034539657X;8
277639;0380731851;6
277639;0425142485;7
277639;0425147363;8
277639;042516098X;5
277639;0440211727;8
277639;0440214041;9
277639;0553297260;8
277639;0553579754;7
277639;0812543262;8
277744;0061031550;8
277744;0312421273;7
277744;0345339681;3
277744;0440235162;5
277744;0887307876;9
277744;0929634063;10
277744;1551660717;8
277928;0679751602;10
277928;0804105820;9
277945;0312974256;6
277945;0312983301;6
277945;0446610550;7
277945;0451203771;8
277945;0515121843;7
277945;051512317X;7
277945;0515124214;7
277945;0515134384;7
277945;0515136379;7
277945;0515136530;7
277945;0515137111;8
277965;0316789089;5
277965;0385484518;10
277965;0399141464;8
277965;0399145087;7
277965;0679457526;9
277965;0684874350;10
277965;0786866845;9
277965;0786881852;7
278026;0061009059;8
278026;0061031410;8
278026;0061094129;8
278026;0380731851;5
278026;0380820889;8
278026;038533558X;9
278026;0446527041;8
278026;0449006522;8
278026;0449219364;6
278026;0449221512;5
278026;0451206525;8
278026;0515130389;8
278026;0553582364;6
278026;0671001795;8
278026;0684810387;8
278026;0743206045;7
278026;1551667517;7
278137;0345337662;7
278137;0380600129;8
278137;0440940001;8
278137;0446606812;7
278137;0553287532;9
278137;0671525808;9
278137;0804106304;8
278137;1558744150;9
278137;1558745017;8
278188;0156005891;8
278188;0373218192;7
278188;0373244487;6
278188;0373484003;7
278188;0440122090;4
278188;044022103X;8
278188;0440223571;9
278188;0440225701;9
278188;0446603589;9
278188;0515124621;8
278188;0671644475;5
278188;080410946X;8
278194;0060926317;8
278194;0140280553;5
278194;0345423135;9
278194;0385334923;7
278194;0385498802;4
278194;0440241537;7
278194;0451209907;5
278194;0452284449;8
278194;051512219X;4
278194;0553582364;6
278194;0671683993;8
278194;0688177859;9
278194;0802139256;6
278202;014025448X;2
278202;0385324057;3
278202;0385497466;3
278202;0446527017;1
278202;0446527130;8
278202;0671510126;10
278202;0743206029;8
278221;0440216745;7
278221;0446613436;7
278221;0553582755;9
278221;0743460529;8
